year,company,group,total_accidents_fatal,total_accidents_serious,killed_belowground_male,killed_opencast_male,killed_opencast_female,killed_aboveground_male,killed_aboveground_female,killed_total,seriously_injured_belowground_male,seriously_injured_opencast_male,seriously_injured_opencast_female,seriously_injured_aboveground_male,seriously_injured_total
2022,ECL,CIL,2,9,2,0,0,0,0,2,6,2,0,1,9
2022,MCL,CIL,0,4,0,0,0,0,0,0,0,2,0,2,4
2022,NCL,CIL,1,8,0,0,0,1,0,1,0,7,0,1,8
2022,SECL,CIL,8,27,2,4,0,1,1,8,17,4,0,7,28
2022,WCL,CIL,1,10,2,0,0,0,0,2,2,7,0,3,12
2022,TOTAL_CIL,TOTAL_CIL,19,66,8,10,0,2,1,21,26,27,0,17,70
2022,GMDC,NON-CIL,0,1,0,0,0,0,0,0,0,1,0,0,1
2022,NLC,NON-CIL,0,1,0,0,0,0,0,0,0,1,0,0,1
2022,SCCL,NON-CIL,4,102,4,1,0,1,0,6,67,17,0,23,107
2022,TISCO,NON-CIL,0,8,0,0,0,0,0,0,6,1,0,1,8
2022,SASAN,NON-CIL,0,1,0,0,0,0,0,0,0,0,0,1,1
2022,TOTAL_NON-CIL,TOTAL_NON-CIL,5,115,4,2,0,1,0,7,74,20,0,26,120
2022,TOTAL_ALL_INDIA,TOTAL_ALL_INDIA,24,181,12,12,0,3,1,28,100,47,0,43,190
